YEAR,LOCATION,AREA,BUDGET,PROJECT
2014,CA,35000,28000000,POMONA COLLEGE STUDIO ART HALL
2014,CA,13000,0,David Kordansky GALLERY
2014,MA,100000,40000000,HARVARD ART MUSEUMS
2009,CA,4000,0,L&M ARTS
2016,CA,100000,20000000,MAURICE AND PAUL MARCIANO ART FOUNDATION
2014,ITALY,110000,35000000,NATIONAL MUSEUM OF ITALIAN JUDAISM AND THE SHOAH (MEIS)
2016,KY,200000,50000000,SPEED ART MUSEUM
2012,IL,43390,10120000,THE ART INSTITUTE OF CHICAGO
2013,MA,180000,0,WORCESTER ART MUSEUM MASTERPLAN
2014,CA,150000,0,LOS ANGELES COUNTY MUSEUM OF ART SAMURAI
2009,CA,1200,1000000,LA RIVER ART BRIDGE
2016,TX,40000,21000000,TYLER MUSEUM OF ART
2007,MI,125000,0,GRAND RAPIDS ART MUSEUM
2016,NY,60000,103000000,Albright-Knox Art Gallery
2002,TX,477426,0,Modern Art Museum of Fort Worth (Tadao Ando)
2001,Milan,36597,0,Teatro Armani  (Tadao Ando)
